                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
TSR   WTR SIP 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR SIP 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 --
TSR   WTR DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR SIP 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 00
TSR   WTR DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR DYB 10 SAB 17 SAB 13 SIP 15 SIP 20 - 4 1 . 4 1 5 03 00
TSR   WTR DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR DYB 10 SAB 17 SAB 13 SIP 15 DYB 20 - 4 1 . 4 1 5 03 00
WTC   WTR DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR DYB 10 SAB 17 SAB 13 SIP 15 DYB 20 - 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR DYB 10 SAB 17 SAB 13 SIP 15 DYB 20 - 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WTR DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 - 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 - 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SIP 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC DYB 10 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 1 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 DYB 15   WRC SAB 09 SAB 17 SAB 13 DYB 15 DYB 20 5 4 1 . 4 - 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 14   WRC SAB 09 SAB 17 SAB 13 DYB 15 DYB 20 - 4 1 . 4 - 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 DYB 20 - 4 1 . - - 5 03 00
WTC   WRC DYB 14 SAB 17 SAB 17 DYB 19 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SAB 19 - 4 1 . - - - 03 --
WTC   WRC DYB 14 SAB 17 SAB 17 SAB 18 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SAB 19 - - 1 . - - - 03 --
WTC   WRC SAB 13 SAB 17 SAB 17 SAB 18 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SAB 19 - - - . - - - 03 --
TSR   WRC SAB 13 SAB 17 SAB 17 SAB 18 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SAB 19 - - - . - - - 04 --
TSR   WRC SAB 13 SAB 17 SAB 17 SIP 18 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SAB 19 - - 4 . - - - 04 --
TSR   WRC SAB 13 SAB 17 SAB 17 SIP 18 SAB 14   WRC SAB 09 SAB 17 SAB 13 SAB 14 SIP 19 - - 4 . 5 - - 04 --
TSR   WRC SAB 13 SAB 17 SAB 17 SIP 18 SAB 14   AST SAB 09 SAB 17 SAB 13 SAB 14 SIP 19 - - 4 . 5 - - 04 --
TSR   AST SAB 13 SAB 17 SAB 17 SIP 18 SAB 14   AST SAB 09 SAB 17 SAB 13 SAB 14 SIP 19 - - 4 . 5 - - 04 --
TSR   AST SAB 13 SAB 17 SIP 18 SIP 18 SAB 14   AST SAB 09 SAB 17 SAB 13 SAB 14 SIP 19 - 3 4 . 5 - - 04 --
TSR   AST SAB 13 SAB 17 SIP 18 SIP 18 SAB 14   AST SAB 09 SAB 17 SIP 14 SAB 14 SIP 19 - 3 4 . 5 3 - 04 --
TSR   AST SAB 13 SAB 17 SIP 18 SIP 18 SIP 14   AST SAB 09 SAB 17 SIP 14 SAB 14 SIP 19 5 3 4 . 5 3 - 04 --
TSR   AST SAB 13 SAB 17 SIP 18 SIP 18 SIP 14   AST SAB 09 SAB 17 SIP 14 SIP 14 SIP 19 5 3 4 . 5 3 4 04 --
TSR   AST SAB 13 SAB 17 SIP 18 SIP 18 SIP 14   AST SAB 09 SAB 17 SIP 14 SIP 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WTR SAB 13 SAB 17 SIP 18 SIP 18 SIP 14   AST SAB 09 SAB 17 SIP 14 SIP 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WTR SAB 13 SAB 17 SIP 18 DYB 18 SIP 14   AST SAB 09 SAB 17 SIP 14 SIP 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WTR SAB 13 SAB 17 SIP 18 DYB 18 SIP 14   WTR SAB 09 SAB 17 SIP 14 SIP 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WTR SAB 13 SAB 17 SIP 18 DYB 18 SIP 14   WTR SAB 09 SAB 17 SIP 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WTR SAB 13 SAB 17 DYB 18 DYB 18 SIP 14   WTR SAB 09 SAB 17 SIP 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WRC SAB 13 SAB 17 DYB 18 DYB 18 SIP 14   WTR SAB 09 SAB 17 SIP 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WRC SAB 13 SAB 17 DYB 18 DYB 18 SIP 14   WRC SAB 09 SAB 17 SIP 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 SIP 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 --
TSR   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 DYB 18 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 3 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 SAB 17 DYB 18 DYB 14   WRC SAB 09 SAB 17 DYB 14 DYB 14 DYB 19 5 - 4 . 5 3 4 04 00
WTC   WRC SAB 13 SAB 17 SAB 17 DYB 18 DYB 14   WRC SAB 09 SAB 17 SAB 13 DYB 14 DYB 19 5 - 4 . 5 - 4 04 -3
WTC   WRC SAB 13 SAB 17 SAB 17 SAB 17 DYB 14   WRC SAB 09 SAB 17 SAB 13 DYB 14 DYB 19 5 - - . 5 - 4 04 -3
WTC   WRC SAB 13 SAB 17 SAB 17 SAB 17 DYB 14   WRC SAB 09 SAB 17 SAB 13 SAB 13 DYB 19 5 - - . 5 - - 04 -3
WTC   WRC SAB 13 SAB 17 SAB 17 SAB 17 SAB 13   WRC SAB 09 SAB 17 SAB 13 SAB 13 DYB 19 - - - . 5 - - 04 -3
WTC   WRC SAB 13 SAB 17 SAB 17 SAB 17 SAB 13   WRC SAB 09 SAB 17 SAB 13 SAB 13 SAB 18 - - - . - - - 04 --
WTC   WRC SAB 13 SIP 18 SAB 17 SAB 17 SAB 13   WRC SAB 09 SAB 17 SAB 13 SAB 13 SAB 18 - - 2 . - - - 04 --
WTC   WRC SAB 13 SIP 18 SAB 17 SAB 17 SAB 13   WRC SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - - 2 . 2 - - 04 --
WTC   WRC SAB 13 SIP 18 SAB 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - - 2 . 2 - - 04 --
WTC   AST SAB 13 SIP 18 SAB 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - - 2 . 2 - - 04 --
TSR   AST SAB 13 SIP 18 SAB 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - - 2 . 2 - - 05 --
TSR   AST SAB 13 SIP 18 SIP 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - 3 2 . 2 - - 05 --
TSR   WTR SAB 13 SIP 18 SIP 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SAB 13 SAB 13 SAB 18 - 3 2 . 2 - - 05 --
TSR   WTR SAB 13 SIP 18 SIP 17 SAB 17 SAB 13   AST SAB 09 SIP 18 SIP 13 SAB 13 SAB 18 - 3 2 . 2 3 - 05 --
TSR   WTR SAB 13 SIP 18 SIP 17 SAB 17 SAB 13   AST SAB 09 DYB 18 SIP 13 SAB 13 SAB 18 - 3 2 . 2 3 - 05 --
TSR   WTR SAB 13 DYB 18 SIP 17 SAB 17 SAB 13   AST SAB 09 DYB 18 SIP 13 SAB 13 SAB 18 - 3 2 . 2 3 - 05 00
TSR   WTR SAB 13 DYB 18 SIP 17 SAB 17 SAB 13   WTR SAB 09 DYB 18 SIP 13 SAB 13 SAB 18 - 3 2 . 2 3 - 05 00
TSR   WTR SAB 13 DYB 18 SIP 17 SIP 17 SAB 13   WTR SAB 09 DYB 18 SIP 13 SAB 13 SAB 18 4 3 2 . 2 3 - 05 00
TSR   WTR SAB 13 DYB 18 SIP 17 SIP 17 SAB 13   WTR SAB 09 DYB 18 SIP 13 SIP 13 SAB 18 4 3 2 . 2 3 4 05 00
WTC   WTR SAB 13 DYB 18 SIP 17 SIP 17 SAB 13   WTR SAB 09 DYB 18 SIP 13 SIP 13 SAB 18 4 3 2 . 2 3 4 05 00
